S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
48," BAKERY, CAKES & DAIRY ", DAIRY , MILK , NANDINI GOODLIFE Toned Milk,Nandini GoodLife,100285703,https://www.bigbasket.com/pd/100285703/nandini-goodlife-toned-milk-1-l-carton/,"Nandini GoodLife Toned Milk, 1 L Carton",53,,,1 L,veg,https://www.bigbasket.com/media/uploads/p/mm/100285703_15-nandini-goodlife-toned-milk.jpg,Goodlife Cow milk is UHT processed milk with Min.3.% fat and Min. 8.5% SNF. Suitable for all generation.,1002857031,https://www.bigbasket.com/media/uploads/p/l/100285703_15-nandini-goodlife-toned-milk.jpg
49," BAKERY, CAKES & DAIRY ", DAIRY ," PANEER, TOFU & CREAM ", MILKY MIST Paneer - Premium Fresh,Milky Mist,1200164,https://www.bigbasket.com/pd/1200164/milky-mist-paneer-premium-fresh-2x200-g/,"Milky Mist Paneer - Premium Fresh, 2x200 g Multi Pack",198,Rs 168,15%,2x200 g,,https://www.bigbasket.com/media/uploads/p/mm/1200164_3-milky-mist-paneer-premium-fresh.jpg,Milky Mist is a brand that is known for its various dairy products. The pure and protein rich products are renowned for their high quality goodness. Paneer is a product which is also known as cottage cheese. This is a healthy dairy product that is produced and marketed by Milky Mist.,1200164,https://www.bigbasket.com/media/uploads/p/l/1200164_3-milky-mist-paneer-premium-fresh.jpg
50," BAKERY, CAKES & DAIRY ", DAIRY ," PANEER, TOFU & CREAM ", MILKY MIST Paneer - Premium Fresh,Milky Mist,40003150,https://www.bigbasket.com/pd/40003150/milky-mist-paneer-premium-fresh-500-g-pouch/,"Milky Mist Paneer - Premium Fresh, 500 g Pouch",210,Rs 195,15,500 g,,https://www.bigbasket.com/media/uploads/p/mm/40003150_2-milky-mist-paneer-premium-fresh.jpg,Milky Mist Premium fresh paneer is made using the most hygienic and good for health. You will certainly like the Soft and enjoyable aroma.,8.90408E+12,https://www.bigbasket.com/media/uploads/p/l/40003150_2-milky-mist-paneer-premium-fresh.jpg
51," BAKERY, CAKES & DAIRY ", DAIRY ," PANEER, TOFU & CREAM ", MILKY MIST Paneer - Premium Fresh,Milky Mist,264679,https://www.bigbasket.com/pd/264679/milky-mist-paneer-premium-fresh-200-g-pouch/,"Milky Mist Paneer - Premium Fresh, 200 g Pouch",99,Rs 84,15%,200 g,,https://www.bigbasket.com/media/uploads/p/mm/264679_2-milky-mist-paneer-premium-fresh.jpg,Milky Mist is a brand that is known for its various dairy products. The pure and protein rich products are renowned for their high quality goodness. Paneer is a product which is also known as cottage cheese. This is a healthy dairy product that is produced and marketed by Milky Mist.,8.90408E+12,https://www.bigbasket.com/media/uploads/p/l/264679_2-milky-mist-paneer-premium-fresh.jpg
3992," BAKERY, CAKES & DAIRY ", DAIRY ," CONDENSED, POWDERED MILK ", AMUL Infant Milk Food - Amulspray,Amul,40058176,https://www.bigbasket.com/pd/40058176/amul-infant-milk-food-amulspray-200-g/,"Amul Infant Milk Food - Amulspray, 200 g",80,,,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40058176_1-amul-infant-milk-food-amulspray.jpg,"Amulspray is an Infant Milk Substitute and falls under The Infant Milk Substitutes, Feeding Bottles and Infant Foods. It is fortified with Vitamins: A, D, K, B Group, C and minerals Calcium, Magnesium, Phosphorus, Iron, Copper, Iodine, Manganese and Zinc.",8.90126E+12,https://www.bigbasket.com/media/uploads/p/l/40058176_1-amul-infant-milk-food-amulspray.jpg
4770," BAKERY, CAKES & DAIRY ", DAIRY , CHEESE , AMUL Processed Cheese - Chiplets Cubes,Amul,104615,https://www.bigbasket.com/pd/104615/amul-processed-cheese-chiplets-cubes-200-g-carton/,"Amul Processed Cheese - Chiplets Cubes, 200 g (8 Cubes)",114,Rs 111,3,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/104615_6-amul-processed-cheese-chiplets-cubes.jpg,"The cubic shapes of Amul Processed Cheese Chiplets make it perfect for parties. They are best served with pineapple dices, and to add some zing, you can sprinkle some chaat masala over the cubes. This nutritious product from the house of Amul is rich in milk proteins and calcium. Although these cheese cubes add something more to your party platter, you can also grate the cheese and add it to your sauce or soup to make it creamier and thicker.",104615,https://www.bigbasket.com/media/uploads/p/l/104615_6-amul-processed-cheese-chiplets-cubes.jpg
4771," BAKERY, CAKES & DAIRY ", DAIRY , BUTTER & MARGARINE , AMUL Cooking Butter - Unsalted,Amul,40006899,https://www.bigbasket.com/pd/40006899/amul-cooking-butter-unsalted-500-g/,"Amul Cooking Butter - Unsalted, 500 g",235,Rs 225,10,500 g,,https://www.bigbasket.com/media/uploads/p/mm/40006899_7-amul-cooking-butter-unsalted.jpg,"Amul unsalted butter is made from fresh cream and nothing else. It is in the purest form and doesn't contain any salt at all. With lower moisture content than other butter, it is an essential cooking and baking ingredient making it especially helpful when making pastries and puddings.  Amul is synonymous with Butter in India. Several Generations of Indian consumers have grown up with the taste of Amul Butter for six decades. Utterly Butterly Delicious taste of Amul Butter is a must on the breakfast table of almost every Indian Household. Utterly Cute Amul Butter Girl has been a part of Indian Consumers since 1950. Amul Butter topical is recognized as one of the longest-running advertisement campaigns in the world.",8.90126E+12,https://www.bigbasket.com/media/uploads/p/l/40006899_7-amul-cooking-butter-unsalted.jpg
4772," BAKERY, CAKES & DAIRY ", DAIRY ," CONDENSED, POWDERED MILK ", NESTLE Everyday Dairy Whitener - Milk Powder For Tea,Nestle,266065,https://www.bigbasket.com/pd/266065/nestle-everyday-dairy-whitener-milk-powder-for-tea-400-g-pouch/,"Nestle Everyday Dairy Whitener - Milk Powder For Tea, 400 g Pouch",200,Rs 195.70,4,400 g,veg,https://www.bigbasket.com/media/uploads/p/mm/266065_7-nestle-everyday-dairy-whitener-milk-powder-for-tea.jpg,"Nestle EVERYDAY is a dairy whitener or dried milk powder that mixes in completely with your tea to lift its taste - so you get a thicker & tastier cup of tea, every time. We at Nestle use milk of the highest quality, and also use our international dairy know-how to carefully dry and balance this milk powder without losing any of its goodness, so that you and your family can enjoy a thicker, milkier, tastier cup of tea - with EVERYDAY, tea's perfect partner! Did you know that EVERYDAY is the No.1 selling dairy whitener in the country. It’s no wonder then, that in blind taste tests consumers ranked tea made with EVERYDAY milk powder as their No.1 choice for a perfect cup of tea! Serving Suggestion: 1 tbsp + tea leaves + 100ml water Storage: After opening, transfer the contents into an airtight container to avoid lumping. Store in a cool, dry and hygienic place. Safety Warning: This product is not to be used as a mother’s milk substitute.",8.90106E+12,https://www.bigbasket.com/media/uploads/p/l/266065_7-nestle-everyday-dairy-whitener-milk-powder-for-tea.jpg
4773," BAKERY, CAKES & DAIRY ", DAIRY ," CONDENSED, POWDERED MILK ", NESTLE Everyday Dairy Whitener - Milk Powder for Tea,Nestle,125546,https://www.bigbasket.com/pd/125546/nestle-everyday-dairy-whitener-milk-powder-for-tea-1-kg-pouch/,"Nestle Everyday Dairy Whitener - Milk Powder for Tea, 1 kg Pouch",490,,,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/125546_8-nestle-everyday-dairy-whitener-milk-powder-for-tea.jpg,"Nestle EVERYDAY is a dairy whitener or dried milk powder that mixes in completely with your tea to lift its taste - so you get a thicker & tastier cup of tea, every time. We at Nestle use milk of the highest quality, and also use our international dairy know-how to carefully dry and balance this milk powder without losing any of its goodness, so that you and your family can enjoy a thicker, milkier, tastier cup of tea - with EVERYDAY, tea's perfect partner! Did you know that EVERYDAY is the No.1 selling dairy whitener in the country. It’s no wonder then, that in blind taste tests consumers ranked tea made with EVERYDAY milk powder as their No.1 choice for a perfect cup of tea!",2.40113E+12,https://www.bigbasket.com/media/uploads/p/l/125546_8-nestle-everyday-dairy-whitener-milk-powder-for-tea.jpg
4774," BAKERY, CAKES & DAIRY ", DAIRY ," CONDENSED, POWDERED MILK ", NESTLE Everyday Dairy Whitener - Milk Powder For Tea,Nestle,266093,https://www.bigbasket.com/pd/266093/nestle-everyday-dairy-whitener-milk-powder-for-tea-200-g-pouch/,"Nestle Everyday Dairy Whitener - Milk Powder For Tea, 200 g Pouch",104,Rs 101.76,2,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/266093_5-nestle-everyday-dairy-whitener-milk-powder-for-tea.jpg,"Nestle Everyday is a dairy whitener or dried milk powder that mixes in completely with your tea to lift its taste - so you get a thicker & tastier cup of tea, every time. We at Nestle use milk of the highest quality, and also use our international dairy know-how to carefully dry and balance this milk powder without losing any of its goodness, so that you and your family can enjoy a thicker, milkier, tastier cup of tea - with Everyday, tea's perfect partner! Did you know that Everyday is the No.1 selling dairy whitener in the country? It’s no wonder then, that in blind taste tests consumers ranked tea made with Everyday milk powder as their No.1 choice for a perfect cup of tea! Serving Suggestion: 1 tablespoon + tea leaves + 100ml water Storage: After opening, transfer the contents into an airtight container to avoid lumping. Store in a cool, dry and hygienic place. Safety Warning: This product is not to be used as a mother’s milk substitute.",8.90106E+12,https://www.bigbasket.com/media/uploads/p/l/266093_5-nestle-everyday-dairy-whitener-milk-powder-for-tea.jpg
4775," BAKERY, CAKES & DAIRY ", DAIRY , BUTTER & MARGARINE , MILKY MIST Cooking Butter - Unsalted,Milky Mist,40006627,https://www.bigbasket.com/pd/40006627/milky-mist-cooking-butter-unsalted-500-g-pouch/,"Milky Mist Cooking Butter - Unsalted, 500 g Pouch",280,Rs 245,13%,500 g,,https://www.bigbasket.com/media/uploads/p/mm/40006627_2-milky-mist-cooking-butter-unsalted.jpg,"The soft creamy texture and the smooth slightly-yellow tinge on the Milky Mist Unsalted Butter will remind you of age-old goodness; the goodness when added to muffins and cakes gives it the much-needed moisture and fluffiness. In fact, this unsalted butter can be a worthy addition to any homemade delicacies and desserts; even cookies and biscuits can do with a bit of goodness from Milky Mist.",40006627,https://www.bigbasket.com/media/uploads/p/l/40006627_2-milky-mist-cooking-butter-unsalted.jpg
