S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
, FRUITS & VEGETABLES , FRESH FRUITS , APPLES & POMEGRANATE , FRESHO Apple - Royal Gala Economy,Fresho,10000005,https://www.bigbasket.com/pd/10000005/fresho-apple-royal-gala-economy-4-pcs/,"Fresho Apple - Royal Gala Economy, 4 pcs (Approx.450 g-500 g)",123.75,Rs 95.85,23%,4 pcs,veg,https://www.bigbasket.com/media/uploads/p/mm/10000005_25-fresho-apple-royal-gala-economy.jpg,"Royal Gala Apples are characterized by a blush of pink of the skin, the color varies from yellow to nearly orange with deep orange stripes. It can be eaten new, taked in in salads or used as a cooking apple and is mostly suited to sauce. It is dense, sugary, sweet-smelling and juicy with a white flesh. It is an extremely special dessert apple with wonderful look. Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/",10000005,"https://www.bigbasket.com/media/uploads/p/l/10000005_25-fresho-apple-royal-gala-economy.jpg"""
, FRUITS & VEGETABLES , FRESH VEGETABLES ," GOURD, PUMPKIN, DRUMSTICK ", FRESHO Ash Gourd,Fresho,10000010,https://www.bigbasket.com/pd/10000010/fresho-ash-gourd-1-kg/,"Fresho Ash Gourd, 1 kg",36.25,Rs 29,20%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/10000010_20-fresho-ash-gourd.jpg,"The powdery coating of this vegetable is responsible for its name 'Ash Gourd'. With a round and oblong shape, Ash gourds have an exterior skin which can vary between dark green to pale grey. They taste mild like a cucumber and are soft to chew.",2.00004E+11,"https://www.bigbasket.com/media/uploads/p/l/10000010_20-fresho-ash-gourd.jpg"""
, FRUITS & VEGETABLES , EXOTIC FRUITS & VEGGIES , EXOTIC VEGETABLES , FRESHO Baby Corn - Unpeeled,Fresho,10000020,https://www.bigbasket.com/pd/10000020/fresho-baby-corn-unpeeled-500-g/,"Fresho Baby Corn - Unpeeled, 500 g",30,Rs 24,20%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000020_14-fresho-baby-corn-unpeeled.jpg,"A young sweet-tasting corn, baby corns are small in size and handpicked before they mature. Picking fresh and scrumptious vegetables for your healthy lifestyle is now just a click away. Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1687/manchurian-baby-corn-basket-chat/",2.00006E+11,"https://www.bigbasket.com/media/uploads/p/l/10000020_14-fresho-baby-corn-unpeeled.jpg"""
, FRUITS & VEGETABLES , FRESH FRUITS ," BANANA, SAPOTA & PAPAYA ", FRESHO Banana - Robusta/Pachai Vazhai Pazham,Fresho,10000025,https://www.bigbasket.com/pd/10000025/fresho-banana-robusta-1-kg/,"Fresho Banana - Robusta/Pachai Vazhai Pazham, 1 kg",42.5,Rs 29,32%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/10000025_24-fresho-banana-robusta.jpg,"Relish the soft, buttery texture of Robusta bananas that are light green and have a great fragrance and taste. The stalks of Robustas are thick and rigid. Fresh fruits are green, which revolve to a bright yellow on ripening and the flesh contains a white - ceramic colour. Fresho Robusta is fine quality, sweet flavoured, mushy and soft bananas. Do not forget to check our delicious fruit recipes - https://www.bigbasket.com/cookbook/recipes/1781/banana-smoothie/",10000025,"https://www.bigbasket.com/media/uploads/p/l/10000025_24-fresho-banana-robusta.jpg"""
, FRUITS & VEGETABLES , FRESH FRUITS ," BANANA, SAPOTA & PAPAYA ", FRESHO Banana - Stem (Grade A)/Vazhai Thandu,Fresho,10000028,https://www.bigbasket.com/pd/10000028/fresho-banana-stem-1-pc/,"Fresho Banana - Stem (Grade A)/Vazhai Thandu, 1 pc",11.25,Rs 9,20%,1 pc,veg,https://www.bigbasket.com/media/uploads/p/mm/10000028_18-fresho-banana-stem.jpg,"Banana Stem is the fibrous stalk of the banana plant. It has high water content, fresh and crispy textured stalks with mild taste. Fresho stem grade bananas are offered in a pristine condition and are tasty and nutritious. We always procure these banana stems from our trusted farmers so that you get only the best quality items.",2.00007E+11,"https://www.bigbasket.com/media/uploads/p/l/10000028_18-fresho-banana-stem.jpg"""
, FRUITS & VEGETABLES , FRESH VEGETABLES ," BEANS, BRINJALS & OKRA ", FRESHO Beans - Broad,Fresho,10000038,https://www.bigbasket.com/pd/10000038/fresho-beans-broad-500-g/,"Fresho Beans - Broad, 500 g",45,Rs 36,20%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000038_16-fresho-beans-broad.jpg,Fresh broad beans have a delicious earthy flavour that fits well with winter cooking. They have kidney shaped curves that are tender and generally consumed with the pods. Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2176/macaroni-with-baked-beans/,2.00012E+11,"https://www.bigbasket.com/media/uploads/p/l/10000038_16-fresho-beans-broad.jpg"""
, FRUITS & VEGETABLES , FRESH VEGETABLES ," BEANS, BRINJALS & OKRA ", FRESHO Beans - Cluster,Fresho,10000041,https://www.bigbasket.com/pd/10000041/fresho-beans-cluster-500-g/,"Fresho Beans - Cluster, 500 g",30,Rs 24,20%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000041_7-fresho-beans-cluster.jpg,"These narrow long beans, called Cluster beans or Guar, come with tiny pods and are highly nutritious. Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2176/macaroni-with-baked-beans/",10000041,"https://www.bigbasket.com/media/uploads/p/l/10000041_7-fresho-beans-cluster.jpg"""
, FRUITS & VEGETABLES , FRESH VEGETABLES , ROOT VEGETABLES , FRESHO Beetroot,Fresho,10000046,https://www.bigbasket.com/pd/10000046/fresho-beetroot-500-g/,"Fresho Beetroot, 500 g",45,Rs 24,47%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000046_17-fresho-beetroot.jpg,These edible ruby red roots are smooth and bulbous and have the highest sugar content than any other vegetable. Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1439/healthy-chukandar-beetroot-laddu/,10000046,"https://www.bigbasket.com/media/uploads/p/l/10000046_17-fresho-beetroot.jpg"""
, FRUITS & VEGETABLES , FRESH VEGETABLES ," GOURD, PUMPKIN, DRUMSTICK ", FRESHO Bitter Gourd,Fresho,10000049,https://www.bigbasket.com/pd/10000049/fresho-bitter-gourd-500-g/,"Fresho Bitter Gourd, 500 g",25,,,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000049_20-fresho-bitter-gourd.jpg,"The most bitter among all fruits, bitter gourds come with a rough, bumpy and green skin. The off-white translucent flesh tastes crispy with the combination of the bitter seeds that are present inside. Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/129/masala-bharwan-karela/",10000049,"https://www.bigbasket.com/media/uploads/p/l/10000049_20-fresho-bitter-gourd.jpg"""
, FRUITS & VEGETABLES , FRESH VEGETABLES ," BEANS, BRINJALS & OKRA ", FRESHO Brinjal - Bottle Shape,Fresho,10000054,https://www.bigbasket.com/pd/10000054/fresho-brinjal-bottle-shape-500-g/,"Fresho Brinjal - Bottle Shape, 500 g",43.75,Rs 35,20%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000054_17-fresho-brinjal-bottle-shape.jpg,Deep purple and oval shaped bottle brinjals are glossy skinned vegetables with a white and have a soft flesh. Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/133/baingan-bharta/,10000054,"https://www.bigbasket.com/media/uploads/p/l/10000054_17-fresho-brinjal-bottle-shape.jpg"""
