S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
52, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , VIM Dishwash Liquid - Gel Lemon,Vim,266962,https://www.bigbasket.com/pd/266962/vim-dishwash-liquid-gel-lemon-500-ml-bottle/,"Vim Dishwash Liquid - Gel Lemon, 500 ml Bottle",105,Rs 95,10,500 ml,,https://www.bigbasket.com/media/uploads/p/mm/266962_9-vim-dishwash-liquid-gel-lemon.jpg,"Vim is the No.1 dishwashing brand in India. Vim’s Dishwash Liquid Gel is a concentrated gel containing the power of 100 lemons(power refers to the cleaning benefits of lemons). It cleans the utensils deeply and unlike dishwash bars, it does not leave any powdery white layer of residue behind on them. It provides great value for money as only one spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils(as per the independent lab test conducted). Vim Liquid Dishwash Gel also helps you to remove the stubborn malodours from your tiffin boxes. It provides a pleasant cleaning experience and gives a refreshing lemon fragrance during dishwash. Its pH neutral formula is soft on hands compared to other bars. It can safely be used to clean delicate utensils and all kinds of expensive crockery including the non-stick cookware. It does not leave any scratches on the surfaces and keeps the utensils looking new. It is extremely convenient to use. Just take a spoonful of Vim Dishwash Liquid Gel, mix it in a bowl of water and use the mixture to wash an entire sink-full load of dishes. Vim Dishwash Liquid Gel is available in different sizes and packaging format in the market which includes bottles and pouch packs One spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils. It has a superior fragrance that lasts long after rinsing utensils. It is soft on hands. It can safely be used to clean expensive crockery and cookware as it does not leave scratches. Vim Dishwash Liquid Gel is available in different sizes and packaging in the market which include bottles and pouch packs",8.90103E+12,https://www.bigbasket.com/media/uploads/p/l/266962_9-vim-dishwash-liquid-gel-lemon.jpg
53, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , VIM Dishwash Liquid Gel - Lemon,Vim,307195,https://www.bigbasket.com/pd/307195/vim-dishwash-liquid-gel-lemon-750-ml-bottle/,"Vim Dishwash Liquid Gel - Lemon, 750 ml Bottle",155,Rs 123,21%,750 ml,,https://www.bigbasket.com/media/uploads/p/mm/307195_18-vim-dishwash-liquid-gel-lemon.jpg,"Vim is the No.1 dishwashing brand in India. Vim’s Dishwash Liquid Gel is a concentrated gel containing the power of 100 lemons(power refers to the cleaning benefits of lemons). It cleans the utensils deeply and unlike dishwash bars, it does not leave any powdery white layer of residue behind on them. It provides great value for money as only one spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils(as per the independent lab test conducted). Vim Liquid Dishwash Gel also helps you to remove the stubborn malodours from your tiffin boxes. It provides a pleasant cleaning experience and gives a refreshing lemon fragrance during dishwash. Its pH neutral formula is soft on hands compared to other bars. It can safely be used to clean delicate utensils and all kinds of expensive crockery including the non-stick cookware. It does not leave any scratches on the surfaces and keeps the utensils looking new. It is extremely convenient to use. Just take a spoonful of Vim Dishwash Liquid Gel, mix it in a bowl of water and use the mixture to wash an entire sink-full load of dishes. Vim Dishwash Liquid Gel is available in different sizes and packaging format in the market which includes bottles and pouch packs One spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils. It has a superior fragrance that lasts long after rinsing utensils. It is soft on hands. It can safely be used to clean expensive crockery and cookware as it does not leave scratches. Vim Dishwash Liquid Gel is available in different sizes and packaging in the market which include bottles and pouch packs",307195,https://www.bigbasket.com/media/uploads/p/l/307195_18-vim-dishwash-liquid-gel-lemon.jpg
54, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , VIM Dishwash Liquid Gel - Lemon,Vim,298258,https://www.bigbasket.com/pd/298258/vim-dishwash-liquid-gel-lemon-18-l-can/,"Vim Dishwash Liquid Gel - Lemon, 1.8 L Can",360,,,1.8 L,,https://www.bigbasket.com/media/uploads/p/mm/298258_22-vim-dishwash-liquid-gel-lemon.jpg,"Vim is the No.1 dishwashing brand in India. Vim’s Dishwash Liquid Gel is a concentrated gel containing the power of 100 lemons(power refers to the cleaning benefits of lemons). It cleans the utensils deeply and unlike dishwash bars, it does not leave any powdery white layer of residue behind on them. It provides great value for money as only one spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils(as per the independent lab test conducted). Vim Liquid Dishwash Gel also helps you to remove the stubborn malodours from your tiffin boxes. It provides a pleasant cleaning experience and gives a refreshing lemon fragrance during dishwash. Its pH neutral formula is soft on hands compared to other bars. It can safely be used to clean delicate utensils and all kinds of expensive crockery including the non-stick cookware. It does not leave any scratches on the surfaces and keeps the utensils looking new. It is extremely convenient to use. Just take a spoonful of Vim Dishwash Liquid Gel, mix it in a bowl of water and use the mixture to wash an entire sink-full load of dishes. Vim Dishwash Liquid Gel is available in different sizes and packaging format in the market which includes bottles and pouch packs One spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils. It has a superior fragrance that lasts long after rinsing utensils. It is soft on hands. It can safely be used to clean expensive crockery and cookware as it does not leave scratches. Vim Dishwash Liquid Gel is available in different sizes and packaging in the market which include bottles and pouch packs",8.90103E+12,https://www.bigbasket.com/media/uploads/p/l/298258_22-vim-dishwash-liquid-gel-lemon.jpg
55, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , VIM Dishwash Liquid Gel Lemon Refill,Vim,40076994,https://www.bigbasket.com/pd/40076994/vim-dishwash-liquid-gel-lemon-refill-500-ml-refill-pouch/,"Vim Dishwash Liquid Gel Lemon Refill, 500 ml Pouch",99,,,500 ml,,https://www.bigbasket.com/media/uploads/p/mm/40076994_5-vim-dishwash-liquid-gel-lemon-refill.jpg,"Vim is the No.1 dishwashing brand in India. Vim’s Dishwash Liquid Gel is a concentrated gel containing the power of 100 lemons(power refers to the cleaning benefits of lemons). It cleans the utensils deeply and unlike dishwash bars, it does not leave any powdery white layer of residue behind on them. It provides great value for money as only one spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils(as per the independent lab test conducted). Vim Liquid Dishwash Gel also helps you to remove the stubborn malodours from your tiffin boxes. It provides a pleasant cleaning experience and gives a refreshing lemon fragrance during dishwash. Its pH neutral formula is soft on hands compared to other bars. It can safely be used to clean delicate utensils and all kinds of expensive crockery including the non-stick cookware. It does not leave any scratches on the surfaces and keeps the utensils looking new. It is extremely convenient to use. Just take a spoonful of Vim Dishwash Liquid Gel, mix it in a bowl of water and use the mixture to wash an entire sink-full load of dishes. Vim Dishwash Liquid Gel is available in different sizes and packaging format in the market which includes bottles and pouch packs. One spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils. It has a superior fragrance that lasts long after rinsing utensils. It is soft on hands. It can safely be used to clean expensive crockery and cookware as it does not leave scratches. Vim Dishwash Liquid Gel is available in different sizes and packaging in the market which includes bottles and pouch packs",40076994,https://www.bigbasket.com/media/uploads/p/l/40076994_5-vim-dishwash-liquid-gel-lemon-refill.jpg
56, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , VIM Dishwash Liquid Gel - Lemon,Vim,40001181,https://www.bigbasket.com/pd/40001181/vim-dishwash-liquid-gel-lemon-900-ml-refill-pouch/,"Vim Dishwash Liquid Gel - Lemon, 900 ml Refill Pouch",180,,,900 ml,,https://www.bigbasket.com/media/uploads/p/mm/40001181_9-vim-dishwash-liquid-gel-lemon.jpg,"Vim is the No.1 dishwashing brand in India. Vim’s Dishwash Liquid Gel is a concentrated gel containing the power of 100 lemons(power refers to the cleaning benefits of lemons). It cleans the utensils deeply and unlike dishwash bars, it does not leave any powdery white layer of residue behind on them. It provides great value for money as only one spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils(as per the independent lab test conducted). Vim Liquid Dishwash Gel also helps you to remove the stubborn malodours from your tiffin boxes. It provides a pleasant cleaning experience and gives a refreshing lemon fragrance during dishwash. Its pH neutral formula is soft on hands compared to other bars. It can safely be used to clean delicate utensils and all kinds of expensive crockery including the non-stick cookware. It does not leave any scratches on the surfaces and keeps the utensils looking new. It is extremely convenient to use. Just take a spoonful of Vim Dishwash Liquid Gel, mix it in a bowl of water and use the mixture to wash an entire sink-full load of dishes. Vim Dishwash Liquid Gel is available in different sizes and packaging format in the market which includes bottles and pouch packs. One spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils. It has a superior fragrance that lasts long after rinsing utensils. It is soft on hands. It can safely be used to clean expensive crockery and cookware as it does not leave scratches. Vim Dishwash Liquid Gel is available in different sizes and packaging in the market which includes bottles and pouch packs",40001181,https://www.bigbasket.com/media/uploads/p/l/40001181_9-vim-dishwash-liquid-gel-lemon.jpg
57, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , VIM Dishwash Liquid Gel - Lemon,Vim,266958,https://www.bigbasket.com/pd/266958/vim-dishwash-liquid-gel-lemon-155-ml-pouch/,"Vim Dishwash Liquid Gel - Lemon, 155 ml Pouch",20,Rs 18.80,6%,155 ml,,https://www.bigbasket.com/media/uploads/p/mm/266958_10-vim-dishwash-liquid-gel-lemon.jpg,"Vim is the No.1 dishwashing brand in India. Vim’s Dishwash Liquid Gel is a concentrated gel containing the power of 100 lemons(power refers to the cleaning benefits of lemons). It cleans the utensils deeply and unlike dishwash bars, it does not leave any powdery white layer of residue behind on them. It provides great value for money as only one spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils(as per the independent lab test conducted). Vim Liquid Dishwash Gel also helps you to remove the stubborn malodours from your tiffin boxes. It provides a pleasant cleaning experience and gives a refreshing lemon fragrance during dishwash. Its pH neutral formula is soft on hands compared to other bars. It can safely be used to clean delicate utensils and all kinds of expensive crockery including the non-stick cookware. It does not leave any scratches on the surfaces and keeps the utensils looking new. It is extremely convenient to use. Just take a spoonful of Vim Dishwash Liquid Gel, mix it in a bowl of water and use the mixture to wash an entire sink-full load of dishes. Vim Dishwash Liquid Gel is available in different sizes and packaging format in the market which includes bottles and pouch packs. One spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils. It has a superior fragrance that lasts long after rinsing utensils. It is soft on hands. It can safely be used to clean expensive crockery and cookware as it does not leave scratches. Vim Dishwash Liquid Gel is available in different sizes and packaging in the market which include bottles and pouch packs",8.90103E+12,https://www.bigbasket.com/media/uploads/p/l/266958_10-vim-dishwash-liquid-gel-lemon.jpg
58, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , VIM Dishwash Liquid Gel Lemon Refill Pouch,Vim,40200751,https://www.bigbasket.com/pd/40200751/vim-dishwash-liquid-gel-lemon-refill-pouch-2-l/,"Vim Dishwash Liquid Gel Lemon Refill Pouch, 2 L",360,,,2 L,,https://www.bigbasket.com/media/uploads/p/mm/40200751_1-vim-dishwash-liquid-gel-lemon-refill-pouch.jpg,"Vim Gel dishwashing liquid comes infused with the Power of lemons! Just 1 spoon of Vim Gel is all you need to remove the toughest of grease from your utensils. Its special formula ensures that it is tough on stains but gentle on your hands. Just one teaspoon of Vim Gel in one cup of water and you're ready! Its ensures that the toughest of grease is removed with ease without damaging your precious cookware. So whether it is mum’s burnt Halwa or your experimental Dal Makhani, sparkling clean utensils is something you will get every time. Vim gel, unlike the other Dishwash bars, does not leave a white residue which is visible after the utensils have dried and do not damage or scratch your expensive cookware’s delicate surfaces such as non-stick or ceramic too. Vim Gel with its power of lemons comes with a refreshing lemon fragrance which not only helps to do away with odour but also gives the best grease-cutting ability makes it our best dishwashing product ever. Don’t forget its gentle on your hands too! Vim gel is also available in various bottles and pouches with nozzles making it easy to pour. So go ahead, give it a try!",8.90103E+12,https://www.bigbasket.com/media/uploads/p/l/40200751_1-vim-dishwash-liquid-gel-lemon-refill-pouch.jpg
59, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , VIM Dishwash Liquid Gel - Lemon,Vim,266967,https://www.bigbasket.com/pd/266967/vim-dishwash-liquid-gel-lemon-250-ml-bottle/,"Vim Dishwash Liquid Gel - Lemon, 250 ml Bottle",45,Rs 42.30,6%,250 ml,,https://www.bigbasket.com/media/uploads/p/mm/266967_5-vim-dishwash-liquid-gel-lemon.jpg,"Vim is the No.1 dishwashing brand in India. Vim’s Dishwash Liquid Gel is a concentrated gel containing the power of 100 lemons(power refers to the cleaning benefits of lemons). It cleans the utensils deeply and unlike dish wash bars, it does not leave any powdery white layer of residue behind on them. It provides great value for money as only one spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils(as per the independent lab test conducted). Vim Liquid Dishwash Gel also helps you to remove the stubborn malodours from your tiffin boxes. It provides a pleasant cleaning experience and gives a refreshing lemon fragrance during dishwash. Its pH neutral formula is soft on hands compared to other bars. It can safely be used to clean delicate utensils and all kinds of expensive crockery including the non-stick cookware. It does not leave any scratches on the surfaces and keeps the utensils looking new. It is extremely convenient to use. Just take a spoonful of Vim Dishwash Liquid Gel, mix it in a bowl of water and use the mixture to wash an entire sink-full load of dishes. Vim Dishwash Liquid Gel is available in different sizes and packaging format in the market which includes bottles and pouch packs. One spoon of Vim Liquid Dishwash Gel is enough to clean one sink-full of dirty utensils. It has a superior fragrance that lasts long after rinsing utensils. It is soft on hands. It can safely be used to clean expensive crockery and cookware as it does not leave scratches. Vim Dishwash Liquid Gel is available in different sizes and packaging in the market which include bottles and pouch packs",8.90103E+12,https://www.bigbasket.com/media/uploads/p/l/266967_5-vim-dishwash-liquid-gel-lemon.jpg
4618, CLEANING & HOUSEHOLD , FRESHENERS & REPELLENTS , MOSQUITO REPELLENT , MAMAEARTH Natural Mosquito Repellent Patches,Mamaearth,40156125,https://www.bigbasket.com/pd/40156125/mamaearth-natural-mosquito-repellent-patches-24-pcs/,"Mamaearth Natural Mosquito Repellent Patches, 24 pcs",199,,,24 pcs,,https://www.bigbasket.com/media/uploads/p/mm/40156125_1-mamaearth-natural-mosquito-repellent-patches.jpg,"Hi! I am Mamaearths 100% natural mosquito repellent patch for babies. I am DEET free with NO harmful chemicals, insecticides or pesticides. I do not cause any side effects like eye irritation or skin damage as I am a 100% natural blend of Citronella, Eucalyptus, Peppermint Oil & Lemon extract. My powerful mosquito repellent blend protects your loved ones from Dengue, Malaria & Chikungunya. I can be pasted on your childs clothes, cot, pram and schoolbag. I offer up to 12 hours of protection from mosquito bites. I am waterproof and can be used for both indoor and outdoor activities. I do not leave any residue on clothes after removal.",8.90609E+12,https://www.bigbasket.com/media/uploads/p/l/40156125_1-mamaearth-natural-mosquito-repellent-patches.jpg
, CLEANING & HOUSEHOLD , ALL PURPOSE CLEANERS , TOILET CLEANERS , HARPIC Power Plus Disinfectant Toilet Cleaner - Original,Harpic,263754,https://www.bigbasket.com/pd/263754/harpic-power-plus-disinfectant-toilet-cleaner-original-500-ml/,"Harpic Power Plus Disinfectant Toilet Cleaner - Original, 500 ml",86,Rs 80.84,6%,500 ml,,https://www.bigbasket.com/media/uploads/p/mm/263754_12-harpic-power-plus-disinfectant-toilet-cleaner-original.jpg,"Harpic All in One is the one-stop-shop for all toilet cleaning needs. Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill and Freshness. The result is a sparkling clean, hygienic, fresh and germ-free toilet without any mal-odour with every use of Harpic. 5x power action: 5 times better at lime-scale removal VS ordinary cleaners, Helps eliminate mal-odour, Clings to attack stains, Kills all germs (Post 60 minutes of contact with undiluted product). Harpic All in One is the one-stop-shop for all toilet cleaning needs. Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill and Freshness. The result is a sparkling clean, hygienic, fresh and germ-free toilet without any mal-odour with every use of Harpic. 5x power action: 5 times better at lime-scale removal VS ordinary cleaners, Helps eliminate mal-odour, Clings to attack stains, Kills all germs (Post 60 minutes of contact with the undiluted product). Always use Harpic toilet separately. Do not mix with other products.",2.40126E+12,"https://www.bigbasket.com/media/uploads/p/l/263754_12-harpic-power-plus-disinfectant-toilet-cleaner-original.jpg"""
