S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
4," EGGS, MEAT & FISH ", EGGS , FARM EGGS , FRESHO Eggs - Regular,Fresho,1205938,https://www.bigbasket.com/pd/1205938/fresho-eggs-regular-5x6-pcs/,"Fresho Eggs - Regular, 5x6 pcs Multipack",270,,,5x6 pcs,,https://www.bigbasket.com/media/uploads/p/mm/1205938_1-fresho-eggs-regular.jpg,"Fresh eggs are hygienically processed and securely filled for keeping these free from any contamination and impurity. It has high dietary content, protein, smell and rich taste. These are one of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method curry eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipe.",_1205938,https://www.bigbasket.com/media/uploads/p/l/1205938_1-fresho-eggs-regular.jpg
5," EGGS, MEAT & FISH ", EGGS , FARM EGGS ," FRESHO Farm Eggs - Regular, Medium, Antibiotic Residue-Free, Growth Hormone-Free",Fresho,281204,https://www.bigbasket.com/pd/281204/fresho-farm-eggs-regular-medium-antibiotic-residue-free-growth-hormone-free-6-pcs/,"Fresho Farm Eggs - Regular, Medium, Antibiotic Residue-Free, Growth Hormone-Free, 6 pcs",54,,,6 pcs,non-veg,https://www.bigbasket.com/media/uploads/p/mm/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free-growth-hormone-free.jpg,"Number of Pcs Size 6 pcs Medium Eggs are one of the common food items in most of the households. From breakfast to dinner, eggs are indulged in various ways. Poached, boiled, fried; we all have our own favourite choices. Not only are they delicious, but they are also crammed with health benefits. It is one of the most in-expensive sources of high protein. These are one of nature's most wholesome and cost-effective foods. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. The Add-on Benefits of Fresho Egg: •Antibiotic free •Free from growth hormones •Carefully selected •Rich in omega 3 Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",281204,https://www.bigbasket.com/media/uploads/p/l/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free-growth-hormone-free.jpg
6," EGGS, MEAT & FISH ", EGGS , FARM EGGS , FRESHO Eggs - Regular,Fresho,1203477,https://www.bigbasket.com/pd/1203477/fresho-eggs-regular-2x6-pcs/,"Fresho Eggs - Regular, 2x6 pcs Multipack",108,,,2x6 pcs,,https://www.bigbasket.com/media/uploads/p/mm/1203477_2-fresho-eggs-regular.jpg,"Fresh Table eggs are hygienically processed and securely filled for keeping these free from any contamination and impurity. It has high dietary content, protein, smell and rich taste. These are one of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It twisted boiled, sunny-side up, deviled or evens the Indian method curry eggs can be finished in so many unique tasty ways.",1203477,https://www.bigbasket.com/media/uploads/p/l/1203477_2-fresho-eggs-regular.jpg
7," EGGS, MEAT & FISH ", EGGS , FARM EGGS , FRESHO Eggs - Regular,Fresho,1205933,https://www.bigbasket.com/pd/1205933/fresho-eggs-regular-4x6-pcs/,"Fresho Eggs - Regular, 4x6 pcs Multipack",216,,,4x6 pcs,,https://www.bigbasket.com/media/uploads/p/mm/1205933_1-fresho-eggs-regular.jpg,"Fresh Table eggs are hygienically processed and securely filled for keeping these free from any contamination and impurity. It has high dietary content, protein, smell and rich taste. These are one of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method curry eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipe.",_1205933,https://www.bigbasket.com/media/uploads/p/l/1205933_1-fresho-eggs-regular.jpg
8," EGGS, MEAT & FISH ", EGGS , FARM EGGS ," FRESHO Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free, Growth Hormone-Free",Fresho,40072320,https://www.bigbasket.com/pd/40072320/fresho-farm-eggs-table-tray-medium-antibiotic-residue-free-growth-hormone-free-12-pcs/,"Fresho Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free, Growth Hormone-Free, 12 pcs",110,,,12 pcs,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free-growth-hormone-free.jpg,"Number of Pcs Size 12 pcs Medium Eggs are one of the common food items in most of the households. From breakfast to dinner, eggs are indulged in various ways. Poached, boiled, fried; we all have our own favourite choices. Not only are they delicious, but they are also crammed with health benefits. It is one of the most in-expensive sources of high protein. These are one of nature's most wholesome and cost-effective foods. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. The Add-on Benefits of Fresho Egg: •Antibiotic free •Free from growth hormones •Carefully selected •Rich in omega 3 Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",40072320,https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free-growth-hormone-free.jpg
9," EGGS, MEAT & FISH ", EGGS , FARM EGGS ," FRESHO Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free, Growth Hormone-Free",Fresho,150502,https://www.bigbasket.com/pd/150502/fresho-farm-eggs-table-tray-medium-antibiotic-residue-free-growth-hormone-free-30-pcs/,"Fresho Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free, Growth Hormone-Free, 30 pcs",210,,,30 pcs,non-veg,https://www.bigbasket.com/media/uploads/p/mm/150502_6-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free-growth-hormone-free.jpg,"Number of Pcs Size 30 pcs Medium Eggs are one of the common food items in most of the households. From breakfast to dinner, eggs are indulged in various ways. Poached, boiled, fried; we all have our own favourite choices. Not only are they delicious, but they are also crammed with health benefits. It is one of the most in-expensive sources of high protein. These are one of nature's most wholesome and cost-effective foods. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. The Add-on Benefits of Fresho Egg: •Antibiotic free •Free from growth hormones •Carefully selected •Rich in omega 3 Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",150502,https://www.bigbasket.com/media/uploads/p/l/150502_6-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free-growth-hormone-free.jpg
," EGGS, MEAT & FISH ", FISH & SEAFOOD , CANNED SEAFOOD , GOLDEN PRIZE Canned Skipjack Light Meat Tuna - Chunk In Olive Oil,Golden Prize,40037992,https://www.bigbasket.com/pd/40037992/golden-prize-canned-skipjack-light-meat-tuna-chunk-in-olive-oil-185-g/,"Golden Prize Canned Skipjack Light Meat Tuna - Chunk In Olive Oil, 185 g",225,Rs 213.75,11,185 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40037992_8-golden-prize-canned-skipjack-light-meat-tuna-chunk-in-olive-oil.jpg,"Premium Quality Fish, Imported from Thailand, Excellent source of Omega 3 , Dolphin Friendly",40037992,"https://www.bigbasket.com/media/uploads/p/l/40037992_8-golden-prize-canned-skipjack-light-meat-tuna-chunk-in-olive-oil.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , CANNED SEAFOOD ," TASTY NIBBLES Tuna Flakes - Light Meat, in Water",Tasty Nibbles,40121156,https://www.bigbasket.com/pd/40121156/tasty-nibbles-tuna-flakes-light-meat-in-water-185-g/,"Tasty Nibbles Tuna Flakes - Light Meat, in Water, 185 g Canned light meat tuna flakes with water as base",150,,,185 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40121156_2-tasty-nibbles-tuna-flakes-light-meat-in-water.jpg,,8.90709E+12,"https://www.bigbasket.com/media/uploads/p/l/40121156_2-tasty-nibbles-tuna-flakes-light-meat-in-water.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , CANNED SEAFOOD ," GOLDEN PRIZE Pink Salmon Fillet - Wild Alaskan, In Oil",Golden Prize,40124071,https://www.bigbasket.com/pd/40124071/golden-prize-pink-salmon-fillet-wild-alaskan-in-oil-115-g/,"Golden Prize Pink Salmon Fillet - Wild Alaskan, In Oil, 115 g",325,Rs 308.75,16,115 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40124071_7-golden-prize-pink-salmon-fillet-wild-alaskan-in-oil.jpg,,,"https://www.bigbasket.com/media/uploads/p/l/40124071_7-golden-prize-pink-salmon-fillet-wild-alaskan-in-oil.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , CANNED SEAFOOD , ABBIES Tuna Chunks in Brine,Abbies,40087432,https://www.bigbasket.com/pd/40087432/abbies-tuna-chunks-in-brine-185-g/,"Abbies Tuna Chunks in Brine, 185 g",169,Rs 160.55,8,185 g,,https://www.bigbasket.com/media/uploads/p/mm/40087432_1-abbies-tuna-chunks-in-brine.jpg,"Moist and succulent chunks of the finest fish, in brine.",8.56023E+11,https://www.bigbasket.com/media/uploads/p/l/40087432_1-abbies-tuna-chunks-in-brine.jpg
