S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
1," FOODGRAINS, OIL & MASALA "," SALT, SUGAR & JAGGERY ", SUGAR & JAGGERY , BB POPULAR Sugar/Sakarai,bb Popular,30005417,https://www.bigbasket.com/pd/30005417/bb-popular-sugar-5-kg/,"bb Popular Sugar/Sakarai, 5 kg",275,Rs 205,25%,5 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/30005417_6-bb-popular-sugar.jpg,"Sugar is made from Sugarcane, the grains are light cream coloured. It is a healthier option as opposed to refined sugar that is pure white in color. It is a great source of energy and has essential minerals without harsh chemicals or additives. It is uniformly crystallized and blends well with all other food ingredients and makes your sweet dish more tastier.",30005417,https://www.bigbasket.com/media/uploads/p/l/30005417_6-bb-popular-sugar.jpg
2," FOODGRAINS, OIL & MASALA "," SALT, SUGAR & JAGGERY ", SUGAR & JAGGERY , BB POPULAR Sugar/Sakarai,bb Popular,40019396,https://www.bigbasket.com/pd/40019396/bb-popular-sugar-1-kg/,"bb Popular Sugar/Sakarai, 1 kg",55,Rs 43,22%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40019396_8-bb-popular-sugar.jpg,"Sugar is finished from organic sugar cane, the grains are light cream colored. It is an improved option as opposed to refined sugar that is pure white in color. It is an immense supply of energy and has necessary minerals with no harsh chemicals or additives. Sugar is sucrose that becomes glucose. Sugar's glycolic acid can be very supportive in retaining the wellbeing and look of your skin.",4.00194E+11,https://www.bigbasket.com/media/uploads/p/l/40019396_8-bb-popular-sugar.jpg
3," FOODGRAINS, OIL & MASALA "," SALT, SUGAR & JAGGERY ", SUGAR & JAGGERY , BB POPULAR Sugar/Sakarai,bb Popular,40019397,https://www.bigbasket.com/pd/40019397/bb-popular-sugar-2-kg/,"bb Popular Sugar/Sakarai, 2 kg",110,Rs 85,23%,2 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40019397_8-bb-popular-sugar.jpg,"Sugar is finished from organic sugar cane, the grains are light cream colored. It is an improved option as opposed to refined sugar that is pure white in color. It is an immense supply of energy and has necessary minerals with no harsh chemicals or additives. Sugar is sucrose that becomes glucose. Sugar's glycolic acid can be very supportive in retaining the wellbeing and look of your skin.",4.00194E+12,https://www.bigbasket.com/media/uploads/p/l/40019397_8-bb-popular-sugar.jpg
30," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB POPULAR Toor/Arhar Dal/Thuvaram Paruppu,bb Popular,10000412,https://www.bigbasket.com/pd/10000412/bb-popular-toorarhar-dal-5-kg-pouch/,"bb Popular Toor/Arhar Dal/Thuvaram Paruppu, 5 kg Pouch",800,Rs 650,19%,5 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/10000412_15-bb-popular-toorarhar-dal.jpg,Toor Dal is processed with the most superior technology so that the original protein value is kept at its best; each grain of toor dal is the treasure of flavor of finest quality. It allows you with the dual richness of nutrition and appetizing taste for your family. It is fat free and nature contains designed it to absorb various mixtures of seasonings and spices. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/,1000041299,https://www.bigbasket.com/media/uploads/p/l/10000412_15-bb-popular-toorarhar-dal.jpg
31," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB POPULAR Toor/Arhar Dal/Thuvaram Paruppu,bb Popular,10000427,https://www.bigbasket.com/pd/10000427/bb-popular-toorarhar-dal-500-g-pouch/,"bb Popular Toor/Arhar Dal/Thuvaram Paruppu, 500 g Pouch",80,Rs 71,11%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000427_18-bb-popular-toorarhar-dal.jpg,"Toor Dal is the most widely-used form of the lentil. It is used in popular recipes like south India sambhar, Gujarati dals, the famous puran poli and lots of other tasty dishes. It has a thick gelatinous or meaty consistency, and takes a little longer to cook. It provides many of the nutrients your body needs, such as protein, fat and carbohydrates. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/",1000042799,https://www.bigbasket.com/media/uploads/p/l/10000427_18-bb-popular-toorarhar-dal.jpg
32," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB POPULAR Toor/Arhar Dal/Thuvaram Paruppu,bb Popular,10000428,https://www.bigbasket.com/pd/10000428/bb-popular-toorarhar-dal-1-kg-pouch/,"bb Popular Toor/Arhar Dal/Thuvaram Paruppu, 1 kg Pouch",160,Rs 132,18%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/10000428_15-bb-popular-toorarhar-dal.jpg,Toor Dal is the most widely-used form of the lentil. It is used in popular recipes. It tastes delicious when cooked and can be digested easily. It also has a long shelf life. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/,1.00004E+12,https://www.bigbasket.com/media/uploads/p/l/10000428_15-bb-popular-toorarhar-dal.jpg
33," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB POPULAR Toor/Arhar Dal/Thuvaram Paruppu,bb Popular,40000263,https://www.bigbasket.com/pd/40000263/bb-popular-toorarhar-dal-2-kg-pouch/,"bb Popular Toor/Arhar Dal/Thuvaram Paruppu, 2 kg Pouch",320,Rs 264,18%,2 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40000263_12-bb-popular-toorarhar-dal.jpg,"Toor dal is also sometimes referred to as lentils or split pigeon peas. This usual Indian dish is frequently served with rich spices over rice, and is a staple in several households and Indian restaurants. It is a type of the legume family, and it is not only tasty, it also contains a number of health benefits. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/",4000026399,https://www.bigbasket.com/media/uploads/p/l/40000263_12-bb-popular-toorarhar-dal.jpg
37," FOODGRAINS, OIL & MASALA ", RICE & RICE PRODUCTS , BOILED & STEAM RICE , BB ROYAL Idli Rice/Idli Arisi,bb Royal,10000450,https://www.bigbasket.com/pd/10000450/bb-royal-idli-rice-1-kg-pouch/,"bb Royal Idli Rice/Idli Arisi, 1 kg Pouch",60,Rs 38,37%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/10000450_16-bb-royal-idli-rice.jpg,"Idli Rice is a good supply of proteins and carbohydrates. It is nutritious as it is a rich supply of fibers and is simple to healthy and digests. They are light and it can make in jiffy with minimum ingredients. It makes smooth, flaky rice flour idli taste delicious with any sambar, chutney or even podi. It is preferred for making idlis and dosas, as well as kanji for elders and babies, as it is easier to digest and better in terms of nutrition than raw rice. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/",1000045099,https://www.bigbasket.com/media/uploads/p/l/10000450_16-bb-royal-idli-rice.jpg
38," FOODGRAINS, OIL & MASALA ", RICE & RICE PRODUCTS , BOILED & STEAM RICE , BB ROYAL Idli Rice/Idli Arisi,bb Royal,10000414,https://www.bigbasket.com/pd/10000414/bb-royal-idli-rice-5-kg-pouch/,"bb Royal Idli Rice/Idli Arisi, 5 kg Pouch",290,Rs 180,38%,5 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/10000414_13-bb-royal-idli-rice.jpg,"Idli Rice is wholesome as it is a rich supply of fibers and is effortless to digest and strong. It is a great supply of carbohydrates and proteins. They are light and it can create in jiffy with minimal ingredients. It makes soft, flaky rice flour idli flavor yummy with any chutney, sambar or even podi. It is desired for making dosas and idlis, as well as kanji for babies and elders. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/",10000414,https://www.bigbasket.com/media/uploads/p/l/10000414_13-bb-royal-idli-rice.jpg
39," FOODGRAINS, OIL & MASALA ", RICE & RICE PRODUCTS , BOILED & STEAM RICE , BB ROYAL Idli Rice/Idli Arisi,bb Royal,60000022,https://www.bigbasket.com/pd/60000022/bb-royal-idli-rice-10-kg-bag/,"bb Royal Idli Rice/Idli Arisi, 10 kg Bag",570,Rs 345,39%,10 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/60000022_8-bb-royal-idli-rice.jpg,"Idli Rice Is Wholesome As It Is A Rich Supply Of Fibers And Is Effortless To Digest And Strong. It Is A Great Supply Of Carbohydrates And Proteins. They Are Light And It Can Create In Jiffy With Minimal Ingredients. It Makes Soft, Flaky Rice Flour Idli Flavor Yummy With Any Chutney, Sambar Or Even Podi. It Is Desired For Making Dosas And Idlis, As Well As Kanji For Babies And Elders. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/",60000022,https://www.bigbasket.com/media/uploads/p/l/60000022_8-bb-royal-idli-rice.jpg
40," FOODGRAINS, OIL & MASALA ", RICE & RICE PRODUCTS , BOILED & STEAM RICE , BB ROYAL Idli Rice/Idli Arisi,bb Royal,40018895,https://www.bigbasket.com/pd/40018895/bb-royal-idli-rice-2-kg-pouch/,"bb Royal Idli Rice/Idli Arisi, 2 kg Pouch",118,Rs 75,36%,2 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40018895_4-bb-royal-idli-rice.jpg,"Idli Rice is a good supply of proteins and carbohydrates. It is nutritious as it is a rich supply of fibers and is simple to healthy and digests. They are light and it can make in jiffy with minimum ingredients. It makes smooth, flaky rice flour idli taste delicious with any sambar, chutney or even podi. It is preferred for making idlis and dosas, as well as kanji for elders and babies, as it is easier to digest and better in terms of nutrition than raw rice. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/",8.90417E+12,https://www.bigbasket.com/media/uploads/p/l/40018895_4-bb-royal-idli-rice.jpg
41," FOODGRAINS, OIL & MASALA ", MASALAS & SPICES , WHOLE SPICES , BB ROYAL Cumin/Jeera - Whole,bb Royal,40030808,https://www.bigbasket.com/pd/40030808/bb-royal-cuminjeera-whole-1-kg/,"bb Royal Cumin/Jeera - Whole, 1 kg",500,Rs 270,46%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40030808_8-bb-royal-cuminjeera-whole.jpg,"Jeera is a strong spice and most people use it to add additional taste to their food. However, this spice is well-known not just for its flavour, but also for the well-being benefits of cumin seeds. It is a familiar ingredient in Indian kitchens. Apart from adding savour to a dish, it has got fitness benefits too. It is a spice which offers a sturdy, exclusive and soothing smell. It is used to offer flavour to different cuisines.",40030808,https://www.bigbasket.com/media/uploads/p/l/40030808_8-bb-royal-cuminjeera-whole.jpg
42," FOODGRAINS, OIL & MASALA ", MASALAS & SPICES , WHOLE SPICES , BB ROYAL Cumin/Jeera Whole/Jeeragam,bb Royal,40026603,https://www.bigbasket.com/pd/40026603/bb-royal-cuminjeera-whole-500-g/,"bb Royal Cumin/Jeera Whole/Jeeragam, 500 g",250,Rs 135,46%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40026603_7-bb-royal-cuminjeera-whole.jpg,"Jeera is a strong spice and most people use it to add additional taste to their food. However, this spice is well-known not just for its flavour, but also for the wellbeing benefits of cumin seeds. It is a familiar ingredient in Indian kitchens. Apart from adding savour to a dish, it has got fitness benefits too. It is a spice which offers a sturdy, exclusive and soothing smell. It is used to offer flavour to different cuisines.",40026603,https://www.bigbasket.com/media/uploads/p/l/40026603_7-bb-royal-cuminjeera-whole.jpg
43," FOODGRAINS, OIL & MASALA ", MASALAS & SPICES , WHOLE SPICES , BB ROYAL Cumin/Jeera - Whole,bb Royal,30000308,https://www.bigbasket.com/pd/30000308/bb-royal-cuminjeera-whole-50-g/,"bb Royal Cumin/Jeera - Whole, 50 g",25,Rs 16,36%,50 g,veg,https://www.bigbasket.com/media/uploads/p/mm/30000308_8-bb-royal-cuminjeera-whole.jpg,"Jeera is an ordinary ingredient which gives flavour to various cuisines. Apart from adding taste to a dish, it contains got health benefits too. It is a flavour which gives a strong, unique and soothing fragrance. These are wealthy in Vitamin C and contain antifungal properties.",3000030899,https://www.bigbasket.com/media/uploads/p/l/30000308_8-bb-royal-cuminjeera-whole.jpg
44," FOODGRAINS, OIL & MASALA ", MASALAS & SPICES , WHOLE SPICES , BB ROYAL Cumin/Jeera Whole/Jeeragam,bb Royal,10000486,https://www.bigbasket.com/pd/10000486/bb-royal-cuminjeera-whole-200-g/,"bb Royal Cumin/Jeera Whole/Jeeragam, 200 g",100,Rs 60,40%,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000486_12-bb-royal-cuminjeera-whole.jpg,"Jeera is a strong spice and most people use it to add additional taste to their food. It offers a sturdy, exclusive and soothing aroma. However, this spice is well-known not just for its flavour, but also for their health benefits.",1000048699,https://www.bigbasket.com/media/uploads/p/l/10000486_12-bb-royal-cuminjeera-whole.jpg
45," FOODGRAINS, OIL & MASALA ", MASALAS & SPICES , WHOLE SPICES , BB ROYAL Cumin/Jeera Whole/Jeeragam,bb Royal,10000479,https://www.bigbasket.com/pd/10000479/bb-royal-cuminjeera-whole-100-g/,"bb Royal Cumin/Jeera Whole/Jeeragam, 100 g",50,Rs 31,38%,100 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000479_11-bb-royal-cuminjeera-whole.jpg,"Jeera is a strong spice and most people use it to add additional taste to their food. It offers a sturdy, exclusive and soothing aroma. However, this spice is well-known not just for its flavour, but also for their health benefits.",1000047999,https://www.bigbasket.com/media/uploads/p/l/10000479_11-bb-royal-cuminjeera-whole.jpg
