S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
14, SNACKS & BRANDED FOODS ," NOODLE, PASTA, VERMICELLI ", INSTANT NOODLES , MAGGI Masala Instant Noodles Vegetarian,MAGGI,266160,https://www.bigbasket.com/pd/266160/maggi-masala-instant-noodles-vegetarian-70-g-pouch/,"MAGGI Masala Instant Noodles Vegetarian, 70 g Pouch",12,Rs 11.40,5%,70 g,veg,https://www.bigbasket.com/media/uploads/p/mm/266160_14-maggi-masala-instant-noodles-vegetarian.jpg,"India’s favourite Masala Noodles, MAGGI 2-minute Noodles, now comes with the goodness of Iron. Each portion (70g) of MAGGI Masala Noodles provides you with 15% of your daily Iron requirement (*as per the Daily Dietary Allowances for an Adult Sedentary Male (ICMR 2010). Containing your favourite masala taste, MAGGI noodles are made with the choicest quality spices. Make your bowl of MAGGI even better by chopping up some vegetables, dropping in an egg or throwing in your favourite ingredients.",8.90106E+12,https://www.bigbasket.com/media/uploads/p/l/266160_14-maggi-masala-instant-noodles-vegetarian.jpg
15, SNACKS & BRANDED FOODS ," NOODLE, PASTA, VERMICELLI ", INSTANT NOODLES , MAGGI 2-Minute Instant Noodles - Masala,MAGGI,266112,https://www.bigbasket.com/pd/266112/maggi-2-minute-instant-noodles-masala-420-g-pouch/,"MAGGI 2-Minute Instant Noodles - Masala, 420 g Pouch",68,Rs 65.14,4%,420 g,veg,https://www.bigbasket.com/media/uploads/p/mm/266112_13-maggi-2-minute-instant-noodles-masala.jpg,"India’s favourite Masala Noodles, MAGGI 2-minute Noodles, now comes with the goodness of Iron. Each portion (70g) of MAGGI Masala Noodles provides you with 15% of your daily Iron requirement (*as per the Daily Dietary Allowances for an Adult Sedentary Male (ICMR 2010). Containing your favourite masala taste, MAGGI noodles are made with the choicest quality spices. Make your bowl of MAGGI even better by chopping up some vegetables, dropping in an egg or throwing in your favourite ingredients.",8.90106E+12,https://www.bigbasket.com/media/uploads/p/l/266112_13-maggi-2-minute-instant-noodles-masala.jpg
16, SNACKS & BRANDED FOODS ," NOODLE, PASTA, VERMICELLI ", INSTANT NOODLES , MAGGI 2-Minute Instant Noodles - Masala,MAGGI,266162,https://www.bigbasket.com/pd/266162/maggi-2-minute-instant-noodles-masala-280-g-pouch/,"MAGGI 2-Minute Instant Noodles - Masala, 280 g Pouch",46,,,280 g,veg,https://www.bigbasket.com/media/uploads/p/mm/266162_13-maggi-2-minute-instant-noodles-masala.jpg,"India’s favourite Masala Noodles, MAGGI 2-minute Noodles, now comes with the goodness of Iron. Each portion (70g) of MAGGI Masala Noodles provides you with 15% of your daily Iron requirement (*as per the Daily Dietary Allowances for an Adult Sedentary Male (ICMR 2010). Containing your favourite masala taste, MAGGI noodles are made with the choicest quality spices. Make your bowl of MAGGI even better by chopping up some vegetables, dropping in an egg or throwing in your favourite ingredients.",8.90106E+12,https://www.bigbasket.com/media/uploads/p/l/266162_13-maggi-2-minute-instant-noodles-masala.jpg
17, SNACKS & BRANDED FOODS ," NOODLE, PASTA, VERMICELLI ", INSTANT NOODLES , MAGGI 2-Minute Instant Noodles - Masala,MAGGI,266109,https://www.bigbasket.com/pd/266109/maggi-2-minute-instant-noodles-masala-560-g-pouch/,"MAGGI 2-Minute Instant Noodles - Masala, 560 g Pouch",91,Rs 84.63,7%,560 g,veg,https://www.bigbasket.com/media/uploads/p/mm/266109_15-maggi-2-minute-instant-noodles-masala.jpg,"India’s favourite Masala Noodles, MAGGI 2-minute Noodles, now comes with the goodness of Iron. Each portion (70g) of MAGGI Masala Noodles provides you with 15% of your daily Iron requirement (*as per the Daily Dietary Allowances for an Adult Sedentary Male (ICMR 2010). Containing your favourite masala taste, MAGGI noodles are made with the choicest quality spices. Make your bowl of MAGGI even better by chopping up some vegetables, dropping in an egg or throwing in your favourite ingredients.",8.90106E+12,https://www.bigbasket.com/media/uploads/p/l/266109_15-maggi-2-minute-instant-noodles-masala.jpg
18, SNACKS & BRANDED FOODS ," NOODLE, PASTA, VERMICELLI ", INSTANT NOODLES , MAGGI Noodles - Masala,MAGGI,1206569,https://www.bigbasket.com/pd/1206569/maggi-noodles-masala-4x70-g/,"MAGGI Noodles - Masala, 4x70 g Multipack",48,,,4x70 g,,https://www.bigbasket.com/media/uploads/p/mm/1206569_3-maggi-noodles-masala.jpg,,1206569,https://www.bigbasket.com/media/uploads/p/l/1206569_3-maggi-noodles-masala.jpg
1634, SNACKS & BRANDED FOODS , READY TO COOK & EAT , HEAT & EAT READY MEALS , MTR Ready To Eat - Chana Masala,MTR,265980,https://www.bigbasket.com/pd/265980/mtr-ready-to-eat-chana-masala-300-g-pouch/,"MTR Ready To Eat - Chana Masala, 300 g Pouch",110,Rs 107.64,2,300 g,veg,https://www.bigbasket.com/media/uploads/p/mm/265980_6-mtr-ready-to-eat-chana-masala.jpg,"MTR Chana Masala is the greatest ingredient to cook pungent, tasty and delicious chana masala. If you want chana masala to be spicier, add more spices along with MTR Chana Masala. The chana masala is a well-known tasty Indian vegetarian dish.",265980,https://www.bigbasket.com/media/uploads/p/l/265980_6-mtr-ready-to-eat-chana-masala.jpg
3335, SNACKS & BRANDED FOODS , READY TO COOK & EAT , SOUPS , CHING'S SECRET Tomato Soup + Schezwan Fried Rice Masala,Ching'S Secret,1212109,https://www.bigbasket.com/pd/1212109/chings-secret-tomato-soup-schezwan-fried-rice-masala-combo/,"Ching'S Secret Tomato Soup + Schezwan Fried Rice Masala, Combo 2 Items",65,,,Combo,,https://www.bigbasket.com/media/uploads/p/mm/1212109_1-chings-secret-tomato-soup-schezwan-fried-rice-masala.jpg,"Soup - Tomato: Chings Cookup Soups are a delicious blend of Indian and Chinese flavours, which will leave you craving for more. They contain exotic vegetables with the precise amount of seasoning to bring you the perfect appetizer to relish in the comfort of your home. To make this delicious soup, simply add the pack content in 800 ml of water and bring it to a boil, followed by continuous stirring and simmering for 3 minutes. Miracle Masala - Schezwan Fried Rice: Are you a fan of Desi Chinese masala delicacies? Now enjoy authentic Schezwan fried rice prepared with Ching's Secret Schezwan Fried Rice Masala. What’s more, this Chinese masala is easy to cook and requires no big effort. Use this fiery fried rice masala to relish your favourite Chinese rice dish every day at home.",1212109,https://www.bigbasket.com/media/uploads/p/l/1212109_1-chings-secret-tomato-soup-schezwan-fried-rice-masala.jpg
3339, SNACKS & BRANDED FOODS , FROZEN VEGGIES & SNACKS , FROZEN VEG SNACKS ," SWITZ Spring Roll Sheets - 6""x6""",Switz,30001038,https://www.bigbasket.com/pd/30001038/switz-spring-roll-sheets-6x6-40-pcs-pouch/,"Switz Spring Roll Sheets - 6""x6"", 40 pcs Pouch",110,Rs 100,10,40 pcs,veg,https://www.bigbasket.com/media/uploads/p/mm/30001038_2-switz-spring-roll-sheets-6x6.jpg,"Switz is the only focused manufacturer of authentic, wheat batter-based, all-purpose spring roll pastry in India. Switz Spring Roll Sheets have high elasticity and strength. Big or small, fried or baked (at 180-degree Celsius or till its golden brown), sweet or savoury, what you will make at home will always be crispy. Just let your imagination go wild on the fillings, and make food magic. Switz Spring Roll Sheets Filling Suggestions: Chicken, mix veg, macaroni and cheese, noodle spring roll, baby corn lollipop  Other recipes: Banana fritters, chocolate cigars, money bags, fried wontons, fish roll, tarts, cheese-filled bites. It is suitable for both fresh and frozen preparation.",30001038,https://www.bigbasket.com/media/uploads/p/l/30001038_2-switz-spring-roll-sheets-6x6.jpg
3436, SNACKS & BRANDED FOODS , READY TO COOK & EAT , HOME BAKING , EAGLE Crystals - Citric Acid,Eagle,40003768,https://www.bigbasket.com/pd/40003768/eagle-crystals-citric-acid-25-g-carton/,"Eagle Crystals - Citric Acid, 25 g Carton",22,,,25 g,,https://www.bigbasket.com/media/uploads/p/mm/40003768_2-eagle-crystals-citric-acid.jpg,"Eagle Citric Acid Crystals is a mild acid used to improve the fruit flavor (tartness) in hard candy, gummy and jellies. Sour gummies not only contain high quantities of citric acid in the recipe but are also coated with the citric acid crystals to increase their bitter flavour. Citric acid is also used in soap making. It offers pantry-ready option to lemon juice.",8.90602E+12,https://www.bigbasket.com/media/uploads/p/l/40003768_2-eagle-crystals-citric-acid.jpg
3718, SNACKS & BRANDED FOODS , BREAKFAST CEREALS , GRANOLA & CEREAL BARS , FABBOX Green Chilli Cashews,FabBox,800401551,https://www.bigbasket.com/pd/800401551/fabbox-green-chilli-cashews-70-g/,"FabBox Green Chilli Cashews, 70 g",215,,,70 g,veg,https://www.bigbasket.com/media/uploads/p/mm/800401551_8-fabbox-green-chilli-cashews.jpg,"Roasted Cashews married to Green Chillies. Lip-smacking good! Feel the heat & set your taste buds ablaze, with our spicy Green Chilli cashews. Tasty Organic cashews are mildly spiced with dried green chilli powder and salt to create this super tasty snack. Offered cashews are processed at our hygienically maintained production unit with the help of advanced machines. In addition, the offered chilli cashews are widely served as snacks with tea or coffee across India. These cashews are acknowledged for their features like crispiness, purity and long shelf life. High Protein, Source Of Fiber, No Added Sugar, Roasted Kaju, Healthy Snacks, No Transfat, Roasted Nuts",800401551,https://www.bigbasket.com/media/uploads/p/l/800401551_8-fabbox-green-chilli-cashews.jpg
